PlayerID,Name,Age,Position,PreferredPosition,GoalsScored,Assists,MinutesPlayed,Tackles,Interceptions,PassAccuracy,DribblesCompleted,ShotsOnTarget,Height,Weight,OverallRating,PotentialRating,PhysicalStrength,Speed,TechnicalAbility
86,Player_86,26,Midfielder,Central Midfield,6,16,2891,56,29,87.62,8,39,1.86,61,81,94,78.02,87.04,98.7
87,Player_87,18,Forward,Striker,3,13,2745,12,31,75.78,6,59,1.92,98,57,83,83.47,65.4,66.22
88,Player_88,39,Goalkeeper,Winger,14,10,1486,3,0,77.68,9,20,2.03,51,58,67,51.82,56.71,71.83
89,Player_89,21,Midfielder,Central Midfield,10,19,2462,2,18,69.08,28,48,2.1,74,83,67,93.17,70.12,62.42
90,Player_90,36,Goalkeeper,Striker,20,12,1247,81,28,81.52,2,30,1.84,66,89,95,65.66,74.97,83.07
91,Player_91,27,Defender,Striker,29,8,2423,3,4,68.55,14,49,1.88,61,74,71,87.22,76.95,76.31
92,Player_92,28,Goalkeeper,Fullback,28,2,898,37,49,79.85,20,47,1.96,51,57,95,56.85,56.85,77.12
93,Player_93,37,Midfielder,Striker,21,15,715,26,49,69.53,13,67,1.71,77,54,95,58.86,65.68,86.89
94,Player_94,34,Forward,Goalkeeper,12,11,2484,74,31,80.29,46,25,2.06,60,51,91,65.24,89.19,91.65
95,Player_95,20,Forward,Winger,2,11,2762,38,43,92.73,30,43,2.02,89,92,80,77.86,82.25,95.79
96,Player_96,38,Goalkeeper,Fullback,14,20,519,85,3,82.23,20,37,1.65,50,63,78,64.6,88.61,76.33
97,Player_97,31,Forward,Center Back,6,9,1823,20,35,69.61,50,66,1.98,91,98,95,57.08,92.64,61.97
98,Player_98,20,Midfielder,Goalkeeper,23,20,2020,76,20,67.23,9,37,2.07,80,69,75,88.69,65.33,62.81
99,Player_99,30,Midfielder,Goalkeeper,19,12,1304,81,12,78.61,10,46,1.92,94,51,88,69.65,86.87,50.72
100,Player_100,24,Defender,Central Midfield,26,14,2806,74,13,74.68,31,23,1.69,67,77,81,59.16,89,61.15
101,Player_101,28,Goalkeeper,Central Midfield,10,4,1555,60,11,62.19,25,70,2.02,91,96,85,72.22,70.23,78.55
102,Player_102,33,Midfielder,Fullback,18,20,897,99,15,88.76,34,28,1.65,64,66,73,87.55,96.72,50.3
103,Player_103,25,Goalkeeper,Central Midfield,11,17,1682,31,17,79.34,22,58,1.96,56,67,61,64.07,98.67,65.78
104,Player_104,22,Forward,Goalkeeper,28,1,1765,17,27,84.91,13,67,2.06,67,96,64,92.91,73.67,75.17
105,Player_105,38,Midfielder,Striker,20,9,2090,10,45,82.94,16,5,1.91,69,94,62,78.72,74.01,50.75
106,Player_106,32,Forward,Fullback,21,9,784,72,12,65.7,43,33,1.7,93,54,60,56.15,53.97,82.94
107,Player_107,23,Forward,Winger,0,8,1464,50,28,65.4,35,37,1.88,65,67,72,51.97,76.39,91.88
108,Player_108,32,Defender,Striker,3,0,1165,100,4,69.63,49,43,1.7,80,83,87,94.92,79.73,97.28
109,Player_109,20,Forward,Goalkeeper,17,17,1698,89,11,67.24,13,30,1.73,75,95,95,98.58,72.44,53.81
110,Player_110,35,Midfielder,Center Back,5,11,2477,67,18,63.42,39,26,1.69,77,52,80,79.8,80.75,51.18
111,Player_111,19,Defender,Striker,12,4,1156,10,9,93.66,27,14,1.99,61,61,79,83.16,50.03,77.71
112,Player_112,18,Defender,Central Midfield,1,11,2839,70,6,91.53,35,56,2.06,98,78,73,54.24,92.71,63.65
113,Player_113,23,Forward,Winger,22,19,2644,35,22,84.68,15,42,1.66,70,91,60,77.37,74.62,83.7
114,Player_114,21,Defender,Striker,19,5,658,75,26,87.63,47,30,1.69,52,57,90,68.4,94.56,63.84
115,Player_115,22,Midfielder,Winger,4,18,1619,17,50,81.36,25,3,1.96,84,95,79,76.24,78.53,74.4
116,Player_116,22,Goalkeeper,Goalkeeper,6,8,1765,81,17,88.36,39,34,2.02,54,53,71,77.39,75.04,85.61
117,Player_117,25,Forward,Center Back,5,0,525,7,38,90.03,34,26,2.07,87,89,95,76.41,76.18,51.82
118,Player_118,38,Goalkeeper,Central Midfield,24,13,803,95,15,63.95,19,53,2,65,61,84,98.72,79.12,75.83
119,Player_119,36,Goalkeeper,Central Midfield,26,7,1172,28,3,65.38,46,57,1.98,68,76,79,80.03,75.76,85.17
120,Player_120,28,Goalkeeper,Winger,24,15,2545,37,26,83.1,30,37,1.93,84,54,80,98.1,59.54,70.57
121,Player_121,40,Goalkeeper,Center Back,22,10,1417,76,21,75.88,43,50,1.88,92,54,62,53.07,94.48,88.77
122,Player_122,38,Defender,Striker,2,10,642,95,0,77.57,33,58,1.82,57,89,67,85.94,73.33,91.13
123,Player_123,18,Goalkeeper,Central Midfield,8,18,2004,1,34,65.96,28,43,2.07,55,75,78,56.82,63.46,51.79
124,Player_124,27,Forward,Fullback,6,6,2471,42,3,89.87,40,44,1.89,93,51,93,93.53,67.92,73.67
125,Player_125,33,Defender,Center Back,13,7,1871,34,6,62.73,41,11,1.62,60,99,78,80.85,94.03,59.68
126,Player_126,40,Midfielder,Fullback,25,16,858,36,35,77.06,19,50,1.65,64,81,63,96.76,56.15,70.66
127,Player_127,35,Goalkeeper,Fullback,9,1,1082,6,36,74.02,14,52,1.65,96,76,75,76.68,86,53.07
128,Player_128,19,Midfielder,Winger,27,5,2636,90,16,83.09,39,66,1.84,78,74,66,80.55,62.31,76.89
129,Player_129,30,Forward,Goalkeeper,13,3,2249,98,21,69.06,2,62,2.01,66,50,90,59.51,76.86,71.76
130,Player_130,40,Defender,Central Midfield,17,18,1099,92,22,93.35,43,61,2.02,85,62,96,57.73,70.23,57.98
131,Player_131,36,Forward,Fullback,4,19,1978,50,36,84.42,43,68,1.85,75,77,83,62.88,58.46,68.37
132,Player_132,20,Defender,Winger,21,12,2640,46,8,83.28,47,22,1.65,60,77,79,90.42,76.34,79.76
133,Player_133,29,Defender,Fullback,30,11,2750,76,6,66.64,0,13,1.84,92,92,91,86.51,55.77,81.98
134,Player_134,39,Midfielder,Goalkeeper,29,15,2331,52,3,80.07,22,3,1.89,81,94,74,62.2,83.62,97.76
135,Player_135,36,Forward,Fullback,24,3,2372,1,46,77.7,22,8,1.64,50,84,67,72.28,52.75,75.81
136,Player_136,26,Midfielder,Winger,27,6,1845,55,13,73.33,36,29,1.67,92,96,62,56.75,92.34,81.35
137,Player_137,40,Goalkeeper,Goalkeeper,28,0,2591,33,34,72.09,38,31,2.03,60,92,64,92.08,77.86,63.98
138,Player_138,22,Forward,Fullback,6,12,796,22,11,92.55,24,47,1.97,50,57,99,86.17,91.39,84.91
139,Player_139,23,Midfielder,Striker,0,0,2985,94,2,79.12,45,37,2.04,54,52,89,84.73,91.66,91.43
140,Player_140,35,Midfielder,Central Midfield,7,1,2476,19,23,69.17,9,21,1.64,60,58,60,55.29,83.72,83.7
141,Player_141,38,Goalkeeper,Goalkeeper,19,7,1756,75,19,68.33,19,24,2.04,77,57,62,72.05,87.99,68.42
142,Player_142,32,Defender,Center Back,19,3,1567,4,2,77.19,0,67,1.85,79,52,84,72.16,60.28,61.71
143,Player_143,23,Forward,Center Back,29,15,2786,31,39,67.47,34,11,1.93,94,79,81,62.63,76.65,66.03
144,Player_144,37,Midfielder,Fullback,4,17,2345,3,34,68.79,42,32,1.77,60,77,77,97.32,63.66,69.45
145,Player_145,34,Goalkeeper,Central Midfield,5,2,521,21,5,81.6,25,64,1.75,95,67,80,78.79,63.66,59.38
146,Player_146,35,Forward,Fullback,5,17,766,50,15,86.28,6,38,1.79,51,50,91,56.24,83.03,65.73
147,Player_147,28,Defender,Center Back,16,1,2863,30,1,94.98,16,60,1.91,78,71,79,86.22,52.92,57.87
148,Player_148,19,Midfielder,Striker,15,1,1245,45,42,92.76,35,55,1.95,56,67,60,95.51,61.72,72.08
149,Player_149,36,Goalkeeper,Striker,24,5,824,81,50,61.3,50,9,1.76,72,88,91,87.97,85.63,78.35
150,Player_150,35,Defender,Center Back,2,9,2440,87,6,78.31,26,37,1.75,100,84,74,76.04,97.79,83.97
151,Player_151,25,Midfielder,Central Midfield,19,12,1577,81,6,68.39,9,30,1.64,59,66,67,60.34,75.06,88.73
152,Player_152,33,Midfielder,Winger,18,5,1968,65,40,90.51,50,45,1.61,64,96,71,73.88,83.4,74.91
153,Player_153,40,Forward,Striker,11,14,1990,31,11,86.07,40,16,1.66,75,74,65,65.55,66.82,59.36
154,Player_154,33,Defender,Striker,15,9,1956,51,34,94.02,16,48,1.9,80,51,60,67.38,66.31,60.25
155,Player_155,26,Forward,Center Back,17,8,2181,3,0,67.78,33,60,2.07,79,88,98,98.95,75.88,71.32
156,Player_156,24,Forward,Fullback,21,10,1431,13,11,91.49,48,18,1.69,87,71,94,76.5,75.94,50.11
157,Player_157,36,Forward,Goalkeeper,20,20,998,55,15,72.77,11,21,1.95,60,58,76,98.98,56.66,65.57
158,Player_158,35,Forward,Winger,20,14,1919,42,46,71.21,11,22,2.03,71,88,76,79.23,93.87,88.31
159,Player_159,39,Forward,Winger,19,3,2948,1,7,61.03,8,54,1.93,74,77,86,68.21,94.97,82.83
160,Player_160,27,Forward,Winger,16,12,1927,74,18,88.02,50,11,1.85,100,99,93,74.5,71.47,53.32
161,Player_161,25,Midfielder,Center Back,2,12,1881,85,9,91.12,21,43,1.82,52,93,92,51.4,88.52,78.69
162,Player_162,26,Goalkeeper,Goalkeeper,9,11,1515,97,20,70.92,26,6,1.85,92,53,86,67.42,76.13,63.22
163,Player_163,33,Defender,Fullback,20,1,709,76,28,93.61,1,68,1.61,57,72,71,88.64,64.07,66.02
164,Player_164,18,Defender,Goalkeeper,27,15,2432,92,45,66.74,7,39,1.84,62,60,68,71.39,84.13,55.72
165,Player_165,29,Forward,Central Midfield,18,6,2458,21,8,94.65,17,58,1.98,85,54,75,97.38,63.16,78.59
166,Player_166,32,Forward,Striker,22,6,1465,18,36,76.59,21,69,2.08,57,60,89,94.24,66.83,91.17
167,Player_167,32,Forward,Central Midfield,5,5,2982,47,31,80.15,10,59,1.68,66,90,93,77.72,79.47,80.17
168,Player_168,35,Midfielder,Striker,7,5,2355,32,33,90.27,15,46,1.9,80,61,99,93.58,85.27,63.31
169,Player_169,30,Goalkeeper,Goalkeeper,14,0,1655,3,47,92.52,21,50,2.02,75,68,74,83.4,59.66,97.96
170,Player_170,19,Goalkeeper,Goalkeeper,4,20,566,31,25,70.66,26,38,1.66,59,67,63,57.54,98.34,95.53
171,Player_171,38,Goalkeeper,Goalkeeper,23,1,1236,80,45,88.92,20,59,2.04,67,99,83,76.29,66.64,91.68
172,Player_172,18,Midfielder,Winger,25,16,1526,7,32,92.12,37,0,1.94,96,55,67,86.94,51.54,54.43
173,Player_173,31,Goalkeeper,Striker,7,2,2359,73,17,64.99,12,27,2.06,61,50,85,58.85,94.34,77.8
174,Player_174,23,Goalkeeper,Winger,18,6,1842,11,17,91.08,15,54,1.69,71,68,87,54.71,80.45,51.7
175,Player_175,33,Midfielder,Striker,13,19,2138,50,32,69.85,21,20,1.72,77,56,79,63.46,73.21,60.02
176,Player_176,18,Defender,Central Midfield,23,17,2300,87,6,83.56,16,11,1.96,51,55,86,73.12,66.65,93.17
177,Player_177,35,Goalkeeper,Central Midfield,25,2,2236,26,11,73.67,22,70,1.85,64,94,77,82.91,53.44,65.73
178,Player_178,38,Midfielder,Central Midfield,30,16,1881,6,42,66.4,2,46,1.97,77,85,74,67.09,68.96,67.84
179,Player_179,30,Goalkeeper,Striker,19,16,2677,22,48,76.15,38,26,1.74,62,91,77,52.53,54.74,77.49
180,Player_180,24,Defender,Center Back,26,11,848,18,33,91.18,16,54,1.77,66,58,95,78.13,68.39,58.73
181,Player_181,31,Midfielder,Fullback,16,13,2895,4,48,66.62,41,33,2.04,57,75,84,69.61,66.99,82.9
182,Player_182,26,Goalkeeper,Goalkeeper,18,6,2660,49,15,85.37,6,16,1.94,55,96,64,89.34,52.69,59.31
183,Player_183,40,Midfielder,Central Midfield,4,5,1419,20,19,77.47,13,54,1.72,56,58,99,91.24,91.94,88.48
184,Player_184,29,Defender,Goalkeeper,3,20,2557,0,44,69.45,1,16,1.79,61,95,99,65.58,92.09,52.22
185,Player_185,35,Midfielder,Winger,30,16,2178,85,6,67.42,49,13,1.85,80,76,66,85.81,77.5,97.28
186,Player_186,28,Defender,Winger,15,6,1319,43,7,67.38,38,56,2.01,97,84,61,94.75,91.04,93.64
187,Player_187,30,Goalkeeper,Center Back,14,4,1684,94,45,67.83,47,6,1.8,98,97,72,86.45,55.21,52.24
188,Player_188,30,Defender,Fullback,5,11,2994,12,28,83.77,8,14,1.73,99,65,67,87.16,55.07,96.26
189,Player_189,23,Midfielder,Fullback,28,12,2455,96,44,87.46,7,29,2,90,87,91,64.6,91.23,93.11
190,Player_190,37,Goalkeeper,Goalkeeper,12,7,933,25,32,71.15,42,62,1.79,65,75,78,67.51,62.39,71.25
191,Player_191,26,Goalkeeper,Center Back,17,5,501,73,12,60.08,23,65,1.87,52,51,80,66.9,88.1,74.5
192,Player_192,36,Defender,Winger,18,6,1589,77,8,76.81,31,43,1.95,69,56,87,62.62,78.35,57.33
193,Player_193,35,Midfielder,Winger,22,0,2106,4,40,63.89,11,14,1.83,89,81,68,52.1,63.1,60.96
194,Player_194,23,Goalkeeper,Center Back,4,16,1356,78,18,63.47,41,59,1.63,51,83,78,97.87,93.24,66.51
195,Player_195,30,Defender,Striker,5,13,2954,10,27,66.23,5,8,1.75,86,52,91,61.51,83.3,74.01
196,Player_196,23,Goalkeeper,Goalkeeper,18,15,2511,95,44,88.52,11,27,2.03,61,82,75,72.73,80.19,57.21
197,Player_197,27,Forward,Central Midfield,3,7,513,85,31,75.98,45,53,2.1,95,52,82,60.16,87.89,89.19
198,Player_198,26,Midfielder,Center Back,28,8,886,28,29,62.09,45,61,1.77,74,80,84,53.15,58.08,84.54
199,Player_199,32,Forward,Central Midfield,20,1,1179,26,13,89.01,18,43,1.93,50,81,65,57.91,53.6,72.69
200,Player_200,38,Goalkeeper,Center Back,22,0,2614,67,30,60.16,4,48,1.76,100,77,95,68.27,92.28,90.82
201,Player_201,40,Goalkeeper,Fullback,16,5,2655,7,33,75,19,23,1.7,81,54,86,69.31,93.52,89.76
202,Player_202,26,Defender,Central Midfield,30,3,1535,21,43,91.76,45,21,1.64,56,83,71,52.63,50.92,52.82
203,Player_203,33,Defender,Fullback,22,6,1156,42,44,63.61,23,10,2.05,69,91,60,54.58,86.87,97.8
204,Player_204,25,Forward,Striker,6,10,1249,67,33,88.25,4,62,1.9,78,71,92,78.23,78.97,66.67
205,Player_205,34,Defender,Central Midfield,16,5,660,27,19,88.68,4,68,2.01,90,91,71,65.31,58.03,78.97
206,Player_206,27,Midfielder,Winger,29,19,2706,21,30,82.86,18,5,1.91,82,70,66,91.6,82.03,79.98
207,Player_207,39,Defender,Central Midfield,24,8,1102,64,0,78.22,28,51,1.89,91,71,89,51.81,86.5,75.63
208,Player_208,29,Forward,Central Midfield,4,1,975,27,45,87.21,39,65,1.91,80,58,99,90.89,85.16,76.7
209,Player_209,25,Defender,Winger,23,18,1414,97,32,64.55,35,28,1.86,70,77,80,84.79,93.57,69.24
210,Player_210,23,Forward,Center Back,5,18,1519,82,4,75.52,20,21,1.97,89,54,87,88.86,73.14,98.44
211,Player_211,21,Midfielder,Striker,23,11,1505,26,31,76.9,18,30,2.08,71,54,81,56.13,56.25,96.48
212,Player_212,21,Forward,Striker,21,2,1726,59,2,82.63,32,45,1.97,90,55,84,51.72,82.32,87.97
213,Player_213,22,Goalkeeper,Center Back,20,8,911,90,38,66.8,15,42,1.65,96,93,87,51.15,75.64,94.24
214,Player_214,40,Goalkeeper,Striker,18,18,2480,27,14,83.08,49,35,1.67,93,66,83,85.43,95.51,88.49
215,Player_215,39,Midfielder,Center Back,19,14,2823,31,15,88.08,49,34,2.09,64,68,94,54.9,69.45,55.63
216,Player_216,20,Forward,Center Back,30,3,716,61,4,62.19,40,34,1.92,79,70,94,57.75,92.36,66.4
217,Player_217,21,Forward,Central Midfield,20,19,547,4,38,67.55,21,47,1.69,74,73,85,57.32,92.36,94.7
218,Player_218,30,Midfielder,Striker,23,7,549,14,3,90.7,1,67,1.75,78,57,77,98.16,70.55,95.33
219,Player_219,29,Goalkeeper,Central Midfield,21,10,693,12,30,71.15,15,4,1.81,96,86,67,60.76,71.01,57.31
220,Player_220,24,Midfielder,Central Midfield,22,3,2427,52,39,78.42,36,25,1.79,93,50,65,52.43,67.89,89.83
221,Player_221,21,Goalkeeper,Striker,7,5,1317,40,23,86.42,32,30,1.61,62,55,89,54.81,89.77,52.31
222,Player_222,32,Goalkeeper,Goalkeeper,14,18,2685,31,17,80.57,20,35,1.64,63,59,72,58.54,94.38,94.79
223,Player_223,26,Midfielder,Fullback,23,8,1623,68,39,89.17,3,49,2.03,58,97,88,74.34,51.03,73.56
224,Player_224,29,Forward,Striker,22,12,957,72,17,64.8,47,57,2.07,64,75,67,78.27,72.89,69.34
225,Player_225,26,Midfielder,Winger,19,9,735,54,17,88.82,15,70,1.72,90,53,65,98.84,50.06,76.59
226,Player_226,40,Defender,Fullback,9,1,1512,78,30,74.34,18,65,1.72,74,51,86,70.58,98.97,56.92
